title,date,description,source_url
Fortress of Heroin Falls: Drug syndicate head Kusum arrested after year-long hunt,,"Devanshi Mehta is a crime correspondent uncovering Delhiâs unseen crisisâaddiction, systemic violence, and the quiet suffering of women, children, and marginalised communities. Her reporting brings nuance to the headlines, focusing on those forgotten by the system. Through deeply reported stories, she explores the human cost of crime, neglect, and broken justice.Read More",https://timesofindia.indiatimes.com/city/delhi/fortress-of-heroin-falls-drug-syndicate-head-kusum-arrested-after-year-long-hunt/articleshow/130178003.cms
11-year-old killed as DTC bus runs her over in Patel Nagar; driver arrested,,"Devanshi Mehta is a crime correspondent uncovering Delhiâs unseen crisisâaddiction, systemic violence, and the quiet suffering of women, children, and marginalised communities. Her reporting brings nuance to the headlines, focusing on those forgotten by the system. Through deeply reported stories, she explores the human cost of crime, neglect, and broken justice.Read More",https://timesofindia.indiatimes.com/city/delhi/11-year-old-killed-as-dtc-bus-runs-her-over-in-patel-nagar-driver-arrested/articleshow/130203982.cms
"Delhi businessman robbed of Rs 1 lakh at gunpoint; family chases, rams robbersâ bike; accused dump stolen cash, weapon, flee",,"Abhay is a Special Correspondent at The Times of India, Delhi, with extensive experience in investigative journalism. Since 2014, he has been covering crime and prisons, providing in-depth analysis and thought-provoking reports.Read More",https://timesofindia.indiatimes.com/city/delhi/delhi-businessman-robbed-of-rs-1-lakh-at-gunpoint-family-chases-rams-robbers-bike-accused-dump-stolen-cash-weapon-flee/articleshow/130160398.cms
Bank employee arrested for facilitating cyber fraud worth several crores: Delhi Crime Branch - tennews.in,"Sun, 12 Apr 2026 07:09:52 GMT",Bank employee arrested for facilitating cyber fraud worth several crores: Delhi Crime Branch - tennews.in,https://news.google.com/rss/articles/CBMisAFBVV95cUxOS1ctSWhaVWdrY3VSYlNfOE5IV1BfQW1oNW05cFFCdEJJSGkxRjl2MU5EdERwVzgyUTYwWEx3elRNdXQ5cm5vSERvMHhSYTBfXzl5QnV5eU5fdng1Mm1LMFBidTYyaUFMOGxpWWJqOGxZSzBYTWVZekhMbER0RGgtTEViZjhXQmRHWDFlb2RkT2JZYTdBV29iMFVLQlAwWFhkTFRKdVFkdWNXaEtjN0VCbQ?oc=5
Delhi Crime Branch arrests one storage and sale of expired food and cosmetic products - BW Police World,"Fri, 10 Apr 2026 12:24:44 GMT",Delhi Crime Branch arrests one storage and sale of expired food and cosmetic products - BW Police World,https://news.google.com/rss/articles/CBMiygFBVV95cUxOZ3ZNRm02ZG9ocTg0dGpKUFU3WnFYc3p0Q2lkdG9jemVrM1ZfcU85LXdOdWEtNFVOdU94THFZSXhsMlI3UXhKM2N5M25mZ0M0RlRTQ3JPakVEWmh1RHFZWGlmaFU1ZnBGeXpJVjAzMi1TcTFicDY1dHp5UndRTjRieU8xcEMzN0RwZ1JsS21qNlAzRGU1MTg0N05jVU9LQVdwN212dHJZM2FJMzlPQ2lPaU55R09TeGM1RmI4dC1WRE5welZMTG9pdmtB?oc=5
Expired Food With Fake Labels Seized In Major Delhi Crime Branch Raid - NDTV,"Sat, 04 Apr 2026 07:00:00 GMT",Expired Food With Fake Labels Seized In Major Delhi Crime Branch Raid - NDTV,https://news.google.com/rss/articles/CBMipwFBVV95cUxPVzJvd2ZidjdIUWFrcmJfVnV2UWwxNjJUNU5jclBRU0RoYmMxNURPWjBrczF0OXIwSS1kY2poOXNxWVBxWVVCVURmMGpleDNzaGVqZndaSzlQQlVkWVRHWXJJVU9KdEFNZXJ3eUJaMUhFTU95eDNiTUhYU2xZVGx4enJJeUFpZUMzUWpPNG02WnhOWVY3aURCREVmMFVRV1MydlBMQ3FKMNIBrwFBVV95cUxNTVlwdlppSVI3cTQtOEowVGVjSWZHbGkxLUpxLV9KMGFablJZc3VkS0dJd3FWT2thaWdhaXNRQTVTS01JTE1ZQ3M5cTVUZTJjTlJ0MWFWVGpGQlZaM0l4SFcyb3VBdFlUdHhFX3NiY3MtRmtBVTA0bzdvQUMwNVl5UExvVXVaX1Mzd1NzdUU0SlpITzhwemc2ajc1US1NNjU0SWJNeE00M1BYZnRGcXU0?oc=5
"From 'Mirzapur' to 'Delhi Crime': Rasika Dugal on craft, perception, and power - Harper's Bazaar India","Tue, 31 Mar 2026 10:39:41 GMT","From 'Mirzapur' to 'Delhi Crime': Rasika Dugal on craft, perception, and power - Harper's Bazaar India",https://news.google.com/rss/articles/CBMi0AFBVV95cUxQZDAzQTJHTTFNZVJBU3ozRlNTOENlSkhORWVnREtRVU1QYk5DUEZ1MXdPcXF4Uzd0eDV0R1B0QnNCblpqdlY5ZE5Sd1BYSzlOcjJTT29sdG1hakNkZkp2Y3B0R3BsNE1pcmRyRzY0d21aZTdYRGtOUUZoRzNYMHV6ZVQ1YUNIZUdwanUxdU5OUnpiMk5sZDd3WlZ1WHJtLWtmRzFZa3BNcnJsZkpMUkwtZXdydFU3a1pzWXJILWM5eC1PTXVDNDdNSXBuWFhUenE20gHWAUFVX3lxTE1XWU8wS2F3aENpUndZeFhaWFNrVGVnWDNtay00TGRHSHROWENoZHowancwWXltQ0RwNnJ3VHlrbTVuWWpfQzFoTTlyc1gtSG1abnlTTHMxbGlRT0ZUWk55UjBiZ3VkNF9GR2VyTU1BUExfVHotNWIzc29aZHMtZjhoSnFoYmdFNjBDN1dvNlBMbC1VbHJadWFjNXJ2czZMMVJtNnhSdDgxZDZ0RGVhNnkwakxBYjYwc2Y2UHJ2enpGSGZRRHNua0pkdE5OclhaU2NFS2Racnc?oc=5
Delhi Crime Branch Arrests Mastermind Behind Temple and Hospital Cheating Racket - The Impressive Times,"Fri, 10 Apr 2026 07:15:25 GMT",Delhi Crime Branch Arrests Mastermind Behind Temple and Hospital Cheating Racket - The Impressive Times,https://news.google.com/rss/articles/CBMif0FVX3lxTFBPdGdiTXczS0xIcjZ6MDgzZmdZN01paHpWRXJrNHpVeFJPUVVLdXZYQXVNYVM2VjZYb2sxSUNENm9TTlozZU5mRE5VeDJNdktkQ05pQUFqYS1GQ2ZibFRuVDVXNEdSV0QxUDZCMlBUdWJ0WVN6WThMMXM5SlBTZkE?oc=5
Man found dead in northeast Delhi; three held for murder - thepatriot.in,"Sat, 11 Apr 2026 13:08:46 GMT",Man found dead in northeast Delhi; three held for murder - thepatriot.in,https://news.google.com/rss/articles/CBMimAFBVV95cUxNclpQWWZUM3pCcTVodHNmV0NQLVYxM0RYVFNnNG05VENuTjdzN2FRYXVZYWhqNTg5M09sMklHVm53SDZPVWFsQ2dSbTdyTnE1NERhdlh3RlJDbUFmcnM3R3NubzdQVmg5a1lwVHR3Q25yM2tzcTg5bVhGdWxWYjctcmdfdk90M3d0WC1rRi1lc0RMNFlzRnhfS9IBngFBVV95cUxOZUNiMmVvaFNkekRJUzF5Q2tNVVAwS1A1dDY2a01Bc3laZE42QzdFaTBCdXl0M1ZvUW9QTXctLXZpQi1sR2JrMldBLWRxdnktS3BEQmw4cVFYb2RwZ0pKaGZseXcxUUQ2emdXSHZvLVRiemcxV0xsbWlNV21MeXQ0Ujd1SExhamE1SzMxVThXOFYyNVZRN2hNajZjYjlKdw?oc=5
Delhi Crime Branch Cracks Down on Cheating Racket Led by Female Kingpin - Devdiscourse,"Fri, 10 Apr 2026 08:13:50 GMT",Delhi Crime Branch Cracks Down on Cheating Racket Led by Female Kingpin - Devdiscourse,https://news.google.com/rss/articles/CBMixAFBVV95cUxOOWlRemVKLVVnQm5XNTc3bWxqamNZSmZBWEZfS3RQOC1qWWxYNTkxdHhqNjFBT3pGMDZ4NFN5cnNLa012N29oNzJaTGVtTmh1cnRtaG9iTXh3SjZBY0ZtR0lYRVlWR3ZkNGFfdndHZ3RQX3V4TlVtdWNDOXBMNVRTSm13NXlyLU93N1U1Ql9VUFkyOV9wWlllOW5DYTJITjF4a2ExTkdIb29RUGRhbEFSSXp6cDBEaFQ4U1VPNW45Rm52bVVF0gHKAUFVX3lxTFBkRHp1emhHa1FNMmUxYTRUdnNYR1JCc0lYNXdNTHdiUzlldC1vMWJMOElORmZJbDJlazNEeDJ0X2NITERtTDR4YW9uQjlyVzAzTnVUNVQ2cHRyZ0tTYTFleGVxVjFHT0JEUDdkNk93X29jYlFhZUhDWkpOek1zajNaTnR1U2V2S0xMTU1SeFJwc0Znb09GWWV2cTlkNGJrVUVKN3Jvb2NsVlM5cnZPTlJBNllGT01DbndBRFdwcW55anZJR1BwcXFWd1E?oc=5
