title,date,description,crime_type,location,source_url
Cyber fraud reported in Burari,2026-02-24,A fraud incident was reported in burari. Police are investigating the case.,Fraud,burari,synthetic_data
Online fraud case in Patel Nagar,2026-03-14,A fraud incident was reported in patel nagar. Police are investigating the case.,Fraud,patel nagar,synthetic_data
Youth shot dead in Dwarka,2026-02-28,A murder incident was reported in dwarka. Police are investigating the case.,Murder,dwarka,synthetic_data
Cyber fraud reported in Rajouri Garden,2026-03-18,A fraud incident was reported in rajouri garden. Police are investigating the case.,Fraud,rajouri garden,synthetic_data
Body found in Tilak Nagar area,2026-02-14,A murder incident was reported in tilak nagar. Police are investigating the case.,Murder,tilak nagar,synthetic_data
Child kidnapped from Saket,2026-04-07,A kidnapping incident was reported in saket. Police are investigating the case.,Kidnapping,saket,synthetic_data
Online fraud case in Burari,2026-03-29,A fraud incident was reported in burari. Police are investigating the case.,Fraud,burari,synthetic_data
Child kidnapped from Janakpuri,2026-03-21,A kidnapping incident was reported in janakpuri. Police are investigating the case.,Kidnapping,janakpuri,synthetic_data
Cyber fraud reported in Ashok Vihar,2026-03-02,A fraud incident was reported in ashok vihar. Police are investigating the case.,Fraud,ashok vihar,synthetic_data
Man beaten in Hauz Khas,2026-04-01,A assault incident was reported in hauz khas. Police are investigating the case.,Assault,hauz khas,synthetic_data
Mobile snatching in Defence Colony,2026-03-30,A theft incident was reported in defence colony. Police are investigating the case.,Theft,defence colony,synthetic_data
Body found in Janakpuri area,2026-03-03,A murder incident was reported in janakpuri. Police are investigating the case.,Murder,janakpuri,synthetic_data
Online fraud case in Defence Colony,2026-03-23,A fraud incident was reported in defence colony. Police are investigating the case.,Fraud,defence colony,synthetic_data
Online fraud case in Saket,2026-04-04,A fraud incident was reported in saket. Police are investigating the case.,Fraud,saket,synthetic_data
Man stabbed to death in Vasant Kunj,2026-03-17,A murder incident was reported in vasant kunj. Police are investigating the case.,Murder,vasant kunj,synthetic_data
Child kidnapped from Connaught Place,2026-03-17,A kidnapping incident was reported in connaught place. Police are investigating the case.,Kidnapping,connaught place,synthetic_data
House robbery in Janakpuri,2026-02-22,A theft incident was reported in janakpuri. Police are investigating the case.,Theft,janakpuri,synthetic_data
Scam worth lakhs in Ashok Vihar,2026-03-17,A fraud incident was reported in ashok vihar. Police are investigating the case.,Fraud,ashok vihar,synthetic_data
Kidnap case reported in Janakpuri,2026-03-09,A kidnapping incident was reported in janakpuri. Police are investigating the case.,Kidnapping,janakpuri,synthetic_data
Child kidnapped from Lajpat Nagar,2026-03-05,A kidnapping incident was reported in lajpat nagar. Police are investigating the case.,Kidnapping,lajpat nagar,synthetic_data
Man beaten in Najafgarh,2026-04-03,A assault incident was reported in najafgarh. Police are investigating the case.,Assault,najafgarh,synthetic_data
Youth shot dead in Lajpat Nagar,2026-03-01,A murder incident was reported in lajpat nagar. Police are investigating the case.,Murder,lajpat nagar,synthetic_data
Harassment case reported in Mayur Vihar,2026-03-18,A assault incident was reported in mayur vihar. Police are investigating the case.,Assault,mayur vihar,synthetic_data
Minor abducted in Lajpat Nagar,2026-04-06,A kidnapping incident was reported in lajpat nagar. Police are investigating the case.,Kidnapping,lajpat nagar,synthetic_data
Man beaten in Rajouri Garden,2026-03-19,A assault incident was reported in rajouri garden. Police are investigating the case.,Assault,rajouri garden,synthetic_data
House robbery in Saket,2026-03-15,A theft incident was reported in saket. Police are investigating the case.,Theft,saket,synthetic_data
Online fraud case in Patel Nagar,2026-04-12,A fraud incident was reported in patel nagar. Police are investigating the case.,Fraud,patel nagar,synthetic_data
Mobile snatching in Defence Colony,2026-02-18,A theft incident was reported in defence colony. Police are investigating the case.,Theft,defence colony,synthetic_data
Man beaten in Burari,2026-03-22,A assault incident was reported in burari. Police are investigating the case.,Assault,burari,synthetic_data
Man stabbed to death in Karol Bagh,2026-04-01,A murder incident was reported in karol bagh. Police are investigating the case.,Murder,karol bagh,synthetic_data
Man stabbed to death in Shahdara,2026-03-28,A murder incident was reported in shahdara. Police are investigating the case.,Murder,shahdara,synthetic_data
Kidnap case reported in Janakpuri,2026-02-15,A kidnapping incident was reported in janakpuri. Police are investigating the case.,Kidnapping,janakpuri,synthetic_data
Harassment case reported in Shahdara,2026-02-25,A assault incident was reported in shahdara. Police are investigating the case.,Assault,shahdara,synthetic_data
Harassment case reported in Okhla,2026-03-27,A assault incident was reported in okhla. Police are investigating the case.,Assault,okhla,synthetic_data
